level_0,index,borough,major_cat,minor_cat,n
64,64,Bexley,Burglary,Burglary - Business and Community,15
65,65,Bexley,Burglary,Burglary - Residential,65
66,66,Bexley,Criminal Damage,Arson,7
67,67,Bexley,Criminal Damage,Criminal Damage To M/V,49
68,68,Bexley,Criminal Damage,Criminal Damage To Other Bldg,10
69,69,Bexley,Criminal Damage,Criminal Damage To a Dwelling,22
70,70,Bexley,Criminal Damage,Other Criminal Damage,41
71,71,Bexley,Drugs,Drug Trafficking,2
72,72,Bexley,Drugs,Other Drug Offences,0
73,73,Bexley,Drugs,Possession Of Drugs,42
74,74,Bexley,Fraud or Forgery,Other Fraud & Forgery,1
75,75,Bexley,Other Notifiable Offences,Going Equipped,1
76,76,Bexley,Other Notifiable Offences,Other Notifiable,36
77,77,Bexley,Robbery,Business Property,6
78,78,Bexley,Robbery,Personal Property,18
79,79,Bexley,Sexual Offences,Other Sexual,12
80,80,Bexley,Sexual Offences,Rape,21
81,81,Bexley,Theft and Handling,Handling Stolen Goods,2
82,82,Bexley,Theft and Handling,M/V Interference & Tampering,25
83,83,Bexley,Theft and Handling,Other Theft,104
84,84,Bexley,Theft and Handling,Theft From M/V,115
85,85,Bexley,Theft and Handling,Theft From Shops,76
86,86,Bexley,Theft and Handling,Theft Person,9
87,87,Bexley,Theft and Handling,Theft/Taking of M/V,83
88,88,Bexley,Theft and Handling,Theft/Taking of Pedal Cycles,17
89,89,Bexley,Violence Against the Person,Assault with Injury,99
90,90,Bexley,Violence Against the Person,Common Assault,116
91,91,Bexley,Violence Against the Person,Harassment,158
92,92,Bexley,Violence Against the Person,Murder,0
93,93,Bexley,Violence Against the Person,Offensive Weapon,2
94,94,Bexley,Violence Against the Person,Other Violence,31
95,95,Bexley,Violence Against the Person,Wounding/GBH,42
96,96,Brent,Burglary,Burglary - Business and Community,85
97,97,Brent,Burglary,Burglary - Residential,198
98,98,Brent,Criminal Damage,Arson,4
99,99,Brent,Criminal Damage,Criminal Damage To M/V,76
100,100,Brent,Criminal Damage,Criminal Damage To Other Bldg,22
101,101,Brent,Criminal Damage,Criminal Damage To a Dwelling,42
102,102,Brent,Criminal Damage,Other Criminal Damage,43
103,103,Brent,Drugs,Drug Trafficking,12
104,104,Brent,Drugs,Other Drug Offences,1
105,105,Brent,Drugs,Possession Of Drugs,146
106,106,Brent,Fraud or Forgery,Other Fraud & Forgery,2
107,107,Brent,Other Notifiable Offences,Going Equipped,1
108,108,Brent,Other Notifiable Offences,Other Notifiable,72
109,109,Brent,Robbery,Business Property,14
110,110,Brent,Robbery,Personal Property,108
111,111,Brent,Sexual Offences,Other Sexual,36
112,112,Brent,Sexual Offences,Rape,36
113,113,Brent,Theft and Handling,Handling Stolen Goods,1
114,114,Brent,Theft and Handling,M/V Interference & Tampering,28
115,115,Brent,Theft and Handling,Other Theft,325
116,116,Brent,Theft and Handling,Theft From M/V,164
117,117,Brent,Theft and Handling,Theft From Shops,125
118,118,Brent,Theft and Handling,Theft Person,81
119,119,Brent,Theft and Handling,Theft/Taking of M/V,118
120,120,Brent,Theft and Handling,Theft/Taking of Pedal Cycles,34
121,121,Brent,Violence Against the Person,Assault with Injury,176
122,122,Brent,Violence Against the Person,Common Assault,306
123,123,Brent,Violence Against the Person,Harassment,320
124,124,Brent,Violence Against the Person,Murder,0
125,125,Brent,Violence Against the Person,Offensive Weapon,20
126,126,Brent,Violence Against the Person,Other Violence,38
127,127,Brent,Violence Against the Person,Wounding/GBH,95
128,128,Bromley,Burglary,Burglary - Business and Community,27
129,129,Bromley,Burglary,Burglary - Residential,107
130,130,Bromley,Criminal Damage,Arson,9
131,131,Bromley,Criminal Damage,Criminal Damage To M/V,69
132,132,Bromley,Criminal Damage,Criminal Damage To Other Bldg,17
133,133,Bromley,Criminal Damage,Criminal Damage To a Dwelling,45
134,134,Bromley,Criminal Damage,Other Criminal Damage,58
135,135,Bromley,Drugs,Drug Trafficking,0
136,136,Bromley,Drugs,Other Drug Offences,0
137,137,Bromley,Drugs,Possession Of Drugs,41
138,138,Bromley,Fraud or Forgery,Other Fraud & Forgery,2
139,139,Bromley,Other Notifiable Offences,Going Equipped,1
140,140,Bromley,Other Notifiable Offences,Other Notifiable,45
141,141,Bromley,Robbery,Business Property,3
142,142,Bromley,Robbery,Personal Property,24
143,143,Bromley,Sexual Offences,Other Sexual,39
144,144,Bromley,Sexual Offences,Rape,21
145,145,Bromley,Theft and Handling,Handling Stolen Goods,0
146,146,Bromley,Theft and Handling,M/V Interference & Tampering,30
147,147,Bromley,Theft and Handling,Other Theft,238
148,148,Bromley,Theft and Handling,Theft From M/V,149
149,149,Bromley,Theft and Handling,Theft From Shops,181
150,150,Bromley,Theft and Handling,Theft Person,29
151,151,Bromley,Theft and Handling,Theft/Taking of M/V,61
152,152,Bromley,Theft and Handling,Theft/Taking of Pedal Cycles,19
153,153,Bromley,Violence Against the Person,Assault with Injury,134
154,154,Bromley,Violence Against the Person,Common Assault,192
155,155,Bromley,Violence Against the Person,Harassment,290
156,156,Bromley,Violence Against the Person,Murder,0
157,157,Bromley,Violence Against the Person,Offensive Weapon,11
158,158,Bromley,Violence Against the Person,Other Violence,28
159,159,Bromley,Violence Against the Person,Wounding/GBH,64
160,160,Camden,Burglary,Burglary - Business and Community,147
161,161,Camden,Burglary,Burglary - Residential,157
162,162,Camden,Criminal Damage,Arson,6
163,163,Camden,Criminal Damage,Criminal Damage To M/V,50
164,164,Camden,Criminal Damage,Criminal Damage To Other Bldg,21
165,165,Camden,Criminal Damage,Criminal Damage To a Dwelling,26
166,166,Camden,Criminal Damage,Other Criminal Damage,41
167,167,Camden,Drugs,Drug Trafficking,4
168,168,Camden,Drugs,Other Drug Offences,1
169,169,Camden,Drugs,Possession Of Drugs,77
170,170,Camden,Fraud or Forgery,Other Fraud & Forgery,3
171,171,Camden,Other Notifiable Offences,Going Equipped,2
172,172,Camden,Other Notifiable Offences,Other Notifiable,54
173,173,Camden,Robbery,Business Property,4
174,174,Camden,Robbery,Personal Property,152
175,175,Camden,Sexual Offences,Other Sexual,38
176,176,Camden,Sexual Offences,Rape,29
177,177,Camden,Theft and Handling,Handling Stolen Goods,2
178,178,Camden,Theft and Handling,M/V Interference & Tampering,27
179,179,Camden,Theft and Handling,Other Theft,559
180,180,Camden,Theft and Handling,Theft From M/V,175
181,181,Camden,Theft and Handling,Theft From Shops,141
182,182,Camden,Theft and Handling,Theft Person,339
183,183,Camden,Theft and Handling,Theft/Taking of M/V,69
184,184,Camden,Theft and Handling,Theft/Taking of Pedal Cycles,132
185,185,Camden,Violence Against the Person,Assault with Injury,155
186,186,Camden,Violence Against the Person,Common Assault,258
187,187,Camden,Violence Against the Person,Harassment,303
188,188,Camden,Violence Against the Person,Murder,0
189,189,Camden,Violence Against the Person,Offensive Weapon,17
190,190,Camden,Violence Against the Person,Other Violence,30
191,191,Camden,Violence Against the Person,Wounding/GBH,81
192,192,Croydon,Burglary,Burglary - Business and Community,36
193,193,Croydon,Burglary,Burglary - Residential,185
194,194,Croydon,Criminal Damage,Arson,13
195,195,Croydon,Criminal Damage,Criminal Damage To M/V,84
196,196,Croydon,Criminal Damage,Criminal Damage To Other Bldg,15
197,197,Croydon,Criminal Damage,Criminal Damage To a Dwelling,62
198,198,Croydon,Criminal Damage,Other Criminal Damage,61
199,199,Croydon,Drugs,Drug Trafficking,6
200,200,Croydon,Drugs,Other Drug Offences,1
201,201,Croydon,Drugs,Possession Of Drugs,83
202,202,Croydon,Fraud or Forgery,Other Fraud & Forgery,0
203,203,Croydon,Other Notifiable Offences,Going Equipped,0
204,204,Croydon,Other Notifiable Offences,Other Notifiable,50
205,205,Croydon,Robbery,Business Property,9
206,206,Croydon,Robbery,Personal Property,98
207,207,Croydon,Sexual Offences,Other Sexual,48
208,208,Croydon,Sexual Offences,Rape,46
209,209,Croydon,Theft and Handling,Handling Stolen Goods,1
210,210,Croydon,Theft and Handling,M/V Interference & Tampering,41
211,211,Croydon,Theft and Handling,Other Theft,358
212,212,Croydon,Theft and Handling,Theft From M/V,219
213,213,Croydon,Theft and Handling,Theft From Shops,114
214,214,Croydon,Theft and Handling,Theft Person,52
215,215,Croydon,Theft and Handling,Theft/Taking of M/V,85
216,216,Croydon,Theft and Handling,Theft/Taking of Pedal Cycles,27
217,217,Croydon,Violence Against the Person,Assault with Injury,219
218,218,Croydon,Violence Against the Person,Common Assault,278
219,219,Croydon,Violence Against the Person,Harassment,333
220,220,Croydon,Violence Against the Person,Murder,0
221,221,Croydon,Violence Against the Person,Offensive Weapon,23
222,222,Croydon,Violence Against the Person,Other Violence,34
223,223,Croydon,Violence Against the Person,Wounding/GBH,92
224,224,Ealing,Burglary,Burglary - Business and Community,37
225,225,Ealing,Burglary,Burglary - Residential,153
226,226,Ealing,Criminal Damage,Arson,11
227,227,Ealing,Criminal Damage,Criminal Damage To M/V,84
228,228,Ealing,Criminal Damage,Criminal Damage To Other Bldg,14
229,229,Ealing,Criminal Damage,Criminal Damage To a Dwelling,43
230,230,Ealing,Criminal Damage,Other Criminal Damage,53
231,231,Ealing,Drugs,Drug Trafficking,5
232,232,Ealing,Drugs,Other Drug Offences,1
233,233,Ealing,Drugs,Possession Of Drugs,58
234,234,Ealing,Fraud or Forgery,Other Fraud & Forgery,4
235,235,Ealing,Other Notifiable Offences,Going Equipped,0
236,236,Ealing,Other Notifiable Offences,Other Notifiable,67
237,237,Ealing,Robbery,Business Property,3
238,238,Ealing,Robbery,Personal Property,81
239,239,Ealing,Sexual Offences,Other Sexual,30
240,240,Ealing,Sexual Offences,Rape,33
241,241,Ealing,Theft and Handling,Handling Stolen Goods,0
242,242,Ealing,Theft and Handling,M/V Interference & Tampering,30
243,243,Ealing,Theft and Handling,Other Theft,314
244,244,Ealing,Theft and Handling,Theft From M/V,171
245,245,Ealing,Theft and Handling,Theft From Shops,102
246,246,Ealing,Theft and Handling,Theft Person,75
247,247,Ealing,Theft and Handling,Theft/Taking of M/V,78
248,248,Ealing,Theft and Handling,Theft/Taking of Pedal Cycles,78
249,249,Ealing,Violence Against the Person,Assault with Injury,178
250,250,Ealing,Violence Against the Person,Common Assault,302
251,251,Ealing,Violence Against the Person,Harassment,321
252,252,Ealing,Violence Against the Person,Murder,0
253,253,Ealing,Violence Against the Person,Offensive Weapon,12
254,254,Ealing,Violence Against the Person,Other Violence,51
255,255,Ealing,Violence Against the Person,Wounding/GBH,94
256,256,Enfield,Burglary,Burglary - Business and Community,33
257,257,Enfield,Burglary,Burglary - Residential,163
258,258,Enfield,Criminal Damage,Arson,10
259,259,Enfield,Criminal Damage,Criminal Damage To M/V,64
260,260,Enfield,Criminal Damage,Criminal Damage To Other Bldg,16
261,261,Enfield,Criminal Damage,Criminal Damage To a Dwelling,49
262,262,Enfield,Criminal Damage,Other Criminal Damage,50
263,263,Enfield,Drugs,Drug Trafficking,5
264,264,Enfield,Drugs,Other Drug Offences,0
265,265,Enfield,Drugs,Possession Of Drugs,45
266,266,Enfield,Fraud or Forgery,Other Fraud & Forgery,2
267,267,Enfield,Other Notifiable Offences,Going Equipped,1
268,268,Enfield,Other Notifiable Offences,Other Notifiable,59
269,269,Enfield,Robbery,Business Property,6
270,270,Enfield,Robbery,Personal Property,84
271,271,Enfield,Sexual Offences,Other Sexual,31
272,272,Enfield,Sexual Offences,Rape,18
273,273,Enfield,Theft and Handling,Handling Stolen Goods,1
274,274,Enfield,Theft and Handling,M/V Interference & Tampering,60
275,275,Enfield,Theft and Handling,Other Theft,265
276,276,Enfield,Theft and Handling,Theft From M/V,311
277,277,Enfield,Theft and Handling,Theft From Shops,98
278,278,Enfield,Theft and Handling,Theft Person,74
279,279,Enfield,Theft and Handling,Theft/Taking of M/V,116
280,280,Enfield,Theft and Handling,Theft/Taking of Pedal Cycles,29
281,281,Enfield,Violence Against the Person,Assault with Injury,126
282,282,Enfield,Violence Against the Person,Common Assault,216
283,283,Enfield,Violence Against the Person,Harassment,285
284,284,Enfield,Violence Against the Person,Murder,0
285,285,Enfield,Violence Against the Person,Offensive Weapon,13
286,286,Enfield,Violence Against the Person,Other Violence,59
287,287,Enfield,Violence Against the Person,Wounding/GBH,72
288,288,Greenwich,Burglary,Burglary - Business and Community,51
289,289,Greenwich,Burglary,Burglary - Residential,114
290,290,Greenwich,Criminal Damage,Arson,3
291,291,Greenwich,Criminal Damage,Criminal Damage To M/V,67
292,292,Greenwich,Criminal Damage,Criminal Damage To Other Bldg,13
293,293,Greenwich,Criminal Damage,Criminal Damage To a Dwelling,46
294,294,Greenwich,Criminal Damage,Other Criminal Damage,49
295,295,Greenwich,Drugs,Drug Trafficking,6
296,296,Greenwich,Drugs,Other Drug Offences,0
297,297,Greenwich,Drugs,Possession Of Drugs,52
298,298,Greenwich,Fraud or Forgery,Other Fraud & Forgery,5
299,299,Greenwich,Other Notifiable Offences,Going Equipped,1
300,300,Greenwich,Other Notifiable Offences,Other Notifiable,60
301,301,Greenwich,Robbery,Business Property,6
302,302,Greenwich,Robbery,Personal Property,58
303,303,Greenwich,Sexual Offences,Other Sexual,35
304,304,Greenwich,Sexual Offences,Rape,27
305,305,Greenwich,Theft and Handling,Handling Stolen Goods,2
306,306,Greenwich,Theft and Handling,M/V Interference & Tampering,35
307,307,Greenwich,Theft and Handling,Other Theft,226
308,308,Greenwich,Theft and Handling,Theft From M/V,147
309,309,Greenwich,Theft and Handling,Theft From Shops,111
310,310,Greenwich,Theft and Handling,Theft Person,55
311,311,Greenwich,Theft and Handling,Theft/Taking of M/V,116
312,312,Greenwich,Theft and Handling,Theft/Taking of Pedal Cycles,34
313,313,Greenwich,Violence Against the Person,Assault with Injury,178
314,314,Greenwich,Violence Against the Person,Common Assault,267
315,315,Greenwich,Violence Against the Person,Harassment,344
316,316,Greenwich,Violence Against the Person,Murder,1
317,317,Greenwich,Violence Against the Person,Offensive Weapon,16
318,318,Greenwich,Violence Against the Person,Other Violence,38
319,319,Greenwich,Violence Against the Person,Wounding/GBH,87
320,320,Hackney,Burglary,Burglary - Business and Community,77
321,321,Hackney,Burglary,Burglary - Residential,211
322,322,Hackney,Criminal Damage,Arson,5
323,323,Hackney,Criminal Damage,Criminal Damage To M/V,70
324,324,Hackney,Criminal Damage,Criminal Damage To Other Bldg,16
325,325,Hackney,Criminal Damage,Criminal Damage To a Dwelling,31
326,326,Hackney,Criminal Damage,Other Criminal Damage,50
327,327,Hackney,Drugs,Drug Trafficking,8
328,328,Hackney,Drugs,Other Drug Offences,0
329,329,Hackney,Drugs,Possession Of Drugs,69
330,330,Hackney,Fraud or Forgery,Other Fraud & Forgery,4
331,331,Hackney,Other Notifiable Offences,Going Equipped,0
332,332,Hackney,Other Notifiable Offences,Other Notifiable,50
333,333,Hackney,Robbery,Business Property,9
334,334,Hackney,Robbery,Personal Property,135
335,335,Hackney,Sexual Offences,Other Sexual,37
336,336,Hackney,Sexual Offences,Rape,37
337,337,Hackney,Theft and Handling,Handling Stolen Goods,1
338,338,Hackney,Theft and Handling,M/V Interference & Tampering,50
339,339,Hackney,Theft and Handling,Other Theft,329
340,340,Hackney,Theft and Handling,Theft From M/V,228
341,341,Hackney,Theft and Handling,Theft From Shops,78
342,342,Hackney,Theft and Handling,Theft Person,144
343,343,Hackney,Theft and Handling,Theft/Taking of M/V,82
344,344,Hackney,Theft and Handling,Theft/Taking of Pedal Cycles,176
345,345,Hackney,Violence Against the Person,Assault with Injury,166
346,346,Hackney,Violence Against the Person,Common Assault,239
347,347,Hackney,Violence Against the Person,Harassment,299
348,348,Hackney,Violence Against the Person,Murder,0
349,349,Hackney,Violence Against the Person,Offensive Weapon,15
350,350,Hackney,Violence Against the Person,Other Violence,45
351,351,Hackney,Violence Against the Person,Wounding/GBH,74
352,352,Hammersmith and Fulham,Burglary,Burglary - Business and Community,45
353,353,Hammersmith and Fulham,Burglary,Burglary - Residential,120
354,354,Hammersmith and Fulham,Criminal Damage,Arson,1
355,355,Hammersmith and Fulham,Criminal Damage,Criminal Damage To M/V,29
356,356,Hammersmith and Fulham,Criminal Damage,Criminal Damage To Other Bldg,15
357,357,Hammersmith and Fulham,Criminal Damage,Criminal Damage To a Dwelling,30
358,358,Hammersmith and Fulham,Criminal Damage,Other Criminal Damage,36
359,359,Hammersmith and Fulham,Drugs,Drug Trafficking,0
360,360,Hammersmith and Fulham,Drugs,Other Drug Offences,0
361,361,Hammersmith and Fulham,Drugs,Possession Of Drugs,65
362,362,Hammersmith and Fulham,Fraud or Forgery,Other Fraud & Forgery,3
363,363,Hammersmith and Fulham,Other Notifiable Offences,Going Equipped,2
364,364,Hammersmith and Fulham,Other Notifiable Offences,Other Notifiable,43
365,365,Hammersmith and Fulham,Robbery,Business Property,5
366,366,Hammersmith and Fulham,Robbery,Personal Property,91
367,367,Hammersmith and Fulham,Sexual Offences,Other Sexual,29
368,368,Hammersmith and Fulham,Sexual Offences,Rape,14
369,369,Hammersmith and Fulham,Theft and Handling,Handling Stolen Goods,2
370,370,Hammersmith and Fulham,Theft and Handling,M/V Interference & Tampering,32
371,371,Hammersmith and Fulham,Theft and Handling,Other Theft,289
372,372,Hammersmith and Fulham,Theft and Handling,Theft From M/V,157
373,373,Hammersmith and Fulham,Theft and Handling,Theft From Shops,105
374,374,Hammersmith and Fulham,Theft and Handling,Theft Person,73
375,375,Hammersmith and Fulham,Theft and Handling,Theft/Taking of M/V,54
376,376,Hammersmith and Fulham,Theft and Handling,Theft/Taking of Pedal Cycles,138
377,377,Hammersmith and Fulham,Violence Against the Person,Assault with Injury,115
378,378,Hammersmith and Fulham,Violence Against the Person,Common Assault,189
379,379,Hammersmith and Fulham,Violence Against the Person,Harassment,213
380,380,Hammersmith and Fulham,Violence Against the Person,Murder,0
381,381,Hammersmith and Fulham,Violence Against the Person,Offensive Weapon,13
382,382,Hammersmith and Fulham,Violence Against the Person,Other Violence,30
383,383,Hammersmith and Fulham,Violence Against the Person,Wounding/GBH,56
384,384,Haringey,Burglary,Burglary - Business and Community,72
385,385,Haringey,Burglary,Burglary - Residential,190
386,386,Haringey,Criminal Damage,Arson,13
387,387,Haringey,Criminal Damage,Criminal Damage To M/V,49
388,388,Haringey,Criminal Damage,Criminal Damage To Other Bldg,17
389,389,Haringey,Criminal Damage,Criminal Damage To a Dwelling,44
390,390,Haringey,Criminal Damage,Other Criminal Damage,51
391,391,Haringey,Drugs,Drug Trafficking,4
392,392,Haringey,Drugs,Other Drug Offences,1
393,393,Haringey,Drugs,Possession Of Drugs,69
394,394,Haringey,Fraud or Forgery,Other Fraud & Forgery,3
395,395,Haringey,Other Notifiable Offences,Going Equipped,1
396,396,Haringey,Other Notifiable Offences,Other Notifiable,53
397,397,Haringey,Robbery,Business Property,7
398,398,Haringey,Robbery,Personal Property,156
399,399,Haringey,Sexual Offences,Other Sexual,57
400,400,Haringey,Sexual Offences,Rape,42
401,401,Haringey,Theft and Handling,Handling Stolen Goods,3
402,402,Haringey,Theft and Handling,M/V Interference & Tampering,46
403,403,Haringey,Theft and Handling,Other Theft,326
404,404,Haringey,Theft and Handling,Theft From M/V,265
405,405,Haringey,Theft and Handling,Theft From Shops,100
406,406,Haringey,Theft and Handling,Theft Person,182
407,407,Haringey,Theft and Handling,Theft/Taking of M/V,118
408,408,Haringey,Theft and Handling,Theft/Taking of Pedal Cycles,52
409,409,Haringey,Violence Against the Person,Assault with Injury,190
410,410,Haringey,Violence Against the Person,Common Assault,256
411,411,Haringey,Violence Against the Person,Harassment,311
412,412,Haringey,Violence Against the Person,Murder,0
413,413,Haringey,Violence Against the Person,Offensive Weapon,28
414,414,Haringey,Violence Against the Person,Other Violence,43
415,415,Haringey,Violence Against the Person,Wounding/GBH,105
416,416,Harrow,Burglary,Burglary - Business and Community,50
417,417,Harrow,Burglary,Burglary - Residential,104
418,418,Harrow,Criminal Damage,Arson,6
419,419,Harrow,Criminal Damage,Criminal Damage To M/V,43
420,420,Harrow,Criminal Damage,Criminal Damage To Other Bldg,12
421,421,Harrow,Criminal Damage,Criminal Damage To a Dwelling,24
422,422,Harrow,Criminal Damage,Other Criminal Damage,31
423,423,Harrow,Drugs,Drug Trafficking,2
424,424,Harrow,Drugs,Other Drug Offences,1
425,425,Harrow,Drugs,Possession Of Drugs,34
426,426,Harrow,Fraud or Forgery,Other Fraud & Forgery,4
427,427,Harrow,Other Notifiable Offences,Going Equipped,0
428,428,Harrow,Other Notifiable Offences,Other Notifiable,38
429,429,Harrow,Robbery,Business Property,1
430,430,Harrow,Robbery,Personal Property,38
431,431,Harrow,Sexual Offences,Other Sexual,24
432,432,Harrow,Sexual Offences,Rape,14
433,433,Harrow,Theft and Handling,Handling Stolen Goods,2
434,434,Harrow,Theft and Handling,M/V Interference & Tampering,28
435,435,Harrow,Theft and Handling,Other Theft,135
436,436,Harrow,Theft and Handling,Theft From M/V,104
437,437,Harrow,Theft and Handling,Theft From Shops,66
438,438,Harrow,Theft and Handling,Theft Person,38
439,439,Harrow,Theft and Handling,Theft/Taking of M/V,36
440,440,Harrow,Theft and Handling,Theft/Taking of Pedal Cycles,18
441,441,Harrow,Violence Against the Person,Assault with Injury,86
442,442,Harrow,Violence Against the Person,Common Assault,131
443,443,Harrow,Violence Against the Person,Harassment,210
444,444,Harrow,Violence Against the Person,Murder,0
445,445,Harrow,Violence Against the Person,Offensive Weapon,4
446,446,Harrow,Violence Against the Person,Other Violence,30
447,447,Harrow,Violence Against the Person,Wounding/GBH,59
448,448,Havering,Burglary,Burglary - Business and Community,53
449,449,Havering,Burglary,Burglary - Residential,86
450,450,Havering,Criminal Damage,Arson,5
451,451,Havering,Criminal Damage,Criminal Damage To M/V,54
452,452,Havering,Criminal Damage,Criminal Damage To Other Bldg,12
453,453,Havering,Criminal Damage,Criminal Damage To a Dwelling,25
454,454,Havering,Criminal Damage,Other Criminal Damage,35
455,455,Havering,Drugs,Drug Trafficking,6
456,456,Havering,Drugs,Other Drug Offences,0
457,457,Havering,Drugs,Possession Of Drugs,35
458,458,Havering,Fraud or Forgery,Other Fraud & Forgery,3
459,459,Havering,Other Notifiable Offences,Going Equipped,0
460,460,Havering,Other Notifiable Offences,Other Notifiable,41
461,461,Havering,Robbery,Business Property,0
462,462,Havering,Robbery,Personal Property,34
463,463,Havering,Sexual Offences,Other Sexual,30
464,464,Havering,Sexual Offences,Rape,16
465,465,Havering,Theft and Handling,Handling Stolen Goods,2
466,466,Havering,Theft and Handling,M/V Interference & Tampering,26
467,467,Havering,Theft and Handling,Other Theft,187
468,468,Havering,Theft and Handling,Theft From M/V,78
469,469,Havering,Theft and Handling,Theft From Shops,83
470,470,Havering,Theft and Handling,Theft Person,28
471,471,Havering,Theft and Handling,Theft/Taking of M/V,110
472,472,Havering,Theft and Handling,Theft/Taking of Pedal Cycles,14
473,473,Havering,Violence Against the Person,Assault with Injury,139
474,474,Havering,Violence Against the Person,Common Assault,147
475,475,Havering,Violence Against the Person,Harassment,242
476,476,Havering,Violence Against the Person,Murder,0
477,477,Havering,Violence Against the Person,Offensive Weapon,17
478,478,Havering,Violence Against the Person,Other Violence,31
479,479,Havering,Violence Against the Person,Wounding/GBH,46
480,480,Hillingdon,Burglary,Burglary - Business and Community,46
481,481,Hillingdon,Burglary,Burglary - Residential,118
482,482,Hillingdon,Criminal Damage,Arson,6
483,483,Hillingdon,Criminal Damage,Criminal Damage To M/V,79
484,484,Hillingdon,Criminal Damage,Criminal Damage To Other Bldg,11
485,485,Hillingdon,Criminal Damage,Criminal Damage To a Dwelling,40
486,486,Hillingdon,Criminal Damage,Other Criminal Damage,58
487,487,Hillingdon,Drugs,Drug Trafficking,0
488,488,Hillingdon,Drugs,Other Drug Offences,0
489,489,Hillingdon,Drugs,Possession Of Drugs,58
490,490,Hillingdon,Fraud or Forgery,Other Fraud & Forgery,2
491,491,Hillingdon,Other Notifiable Offences,Going Equipped,3
492,492,Hillingdon,Other Notifiable Offences,Other Notifiable,42
